source_id,source_type,source_name,doi,salt,temperature_c,concentration,concentration_unit,solvent_a,ratio_a,solvent_b,ratio_b,solvent_c,ratio_c,solvent_ratio_basis,component_count,solubility_mole_fraction,fully_dissolved,conductivity,conductivity_unit,viscosity_mpas,phase_stable_24h,phase_stable_7d,relative_uncertainty,notes
CALiSol-23:12195,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,2-MeTHF,100.0,,,,,v,1,,True,0.97,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12473,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,3-Me-2-Oxazolidinone,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12474,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,3-MeSulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12480,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,g-Butyrolactone,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12499,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,DMF,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12800,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,EC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13163,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,0.2,mol/l,PC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13164,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,PC,100.0,,,,,v,1,,True,0.01,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13170,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,0.2,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13171,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,0.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13172,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13173,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13174,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,2.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13419,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,0.75,mol/l,TEOS,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13420,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,THF,100.0,,,,,v,1,,True,1.41,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13421,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-60.0,1.0,mol/l,3-Glyme,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
