id,source_name,source_type,source_url,source_doi,source_version,cation,anion,solvent,Concentration (mol/kg),Ionic Conductivity (mS/cm),Viscosity (mPa·s),Cation's Diffusivity (m²/s),Anion's Diffusivity (m²/s),Solvent's Diffusivity (m²/s),Coordination Number (Cation ← Anion),Coordination Number (Cation ← Solvent),Density (g/cm³),cation_name,anion_name,anion_smiles,anion_pubchem_cid,solvent_name,solvent_smiles,solvent_pubchem_cid
1.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,0.5,18.34807272,0.320150657,1.28e-09,1.09e-09,2.51e-09,0.177194737,6.482342105,0.85074303,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
2.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,1.0,40.02923884,0.778736679,1.23e-09,7.41e-10,2.11e-09,0.332376404,6.218884831,0.93311285,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
3.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,1.5,28.58925847,0.834436644,1.09e-09,6.84e-10,1.83e-09,0.47362749,6.034723108,1.0007465,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
4.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,2.0,28.61487204,1.298528389,7.87e-10,5.88e-10,1.47e-09,0.590422222,5.873371429,1.0667787,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
5.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,2.5,37.79148697,1.086047085,6.76e-10,4.69e-10,1.2e-09,0.741232527,5.662182796,1.1208673,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
6.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,3.0,39.14603495,1.875114219,4.87e-10,4.05e-10,9.97e-10,0.873841981,5.473292453,1.1687433,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
7.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,3.5,63.20725907,2.282229508,5e-10,3.45e-10,8.77e-10,1.020208511,5.252156383,1.206207,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
8.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,AN,4.0,35.63474817,2.424506911,4.33e-10,2.8e-10,7.53e-10,1.151058594,5.124224609,1.2482909,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetonitrile,CC#N,6342.0
9.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,Ac2O,0.5,8.570909849,2.51281943,2.91e-10,2.57e-10,4.92e-10,0.211486111,12.3689375,1.1672497,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetic anhydride,CC(=O)OC(=O)C,7918.0
10.0,OEDB computational,computed_md,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,K,BETI,Ac2O,1.0,8.757484172,3.999227812,2.22e-10,1.95e-10,3.45e-10,0.3942675,11.84916,1.2439325,Potassium,Bis(pentafluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,4067273.0,Acetic anhydride,CC(=O)OC(=O)C,7918.0
