id,cmp_id,source_name,source_type,source_url,source_doi,source_version,cation,anion,solvent,Concentration (mol/kg)
exp-1,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,0.0
exp-2,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,0.25
exp-3,2081.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,0.5
exp-4,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,0.75
exp-5,2082.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,1.0
exp-6,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,1.25
exp-7,2083.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,1.5
exp-8,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,1.75
exp-9,2084.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,2.0
exp-10,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,2.25
exp-11,2085.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,2.5
exp-12,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,2.75
exp-13,2086.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,3.0
exp-14,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,3.25
exp-15,2087.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,AN,3.5
exp-16,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,0.0
exp-17,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,0.25
exp-18,2097.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,0.5
exp-19,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,0.75
exp-20,2098.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,1.0
exp-21,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,1.25
exp-22,2099.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,1.5
exp-23,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,1.75
exp-24,2100.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,2.0
exp-25,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,2.25
exp-26,2101.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,2.5
exp-27,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,2.75
exp-28,2102.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,3.0
exp-29,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,3.25
exp-30,2103.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,Ac,3.5
exp-31,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,0.0
exp-32,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,0.25
exp-33,2121.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,0.5
exp-34,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,0.75
exp-35,2122.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,1.0
exp-36,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,1.25
exp-37,2123.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,1.5
exp-38,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,1.75
exp-39,2124.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,2.0
exp-40,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,2.25
exp-41,2125.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,2.5
exp-42,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,2.75
exp-43,2126.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,3.0
exp-44,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,3.25
exp-45,2127.0,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DMC,3.5
exp-46,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DME,0.0
exp-47,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DME,0.25
exp-48,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DME,0.5
exp-49,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DME,0.75
exp-50,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DME,1.0
exp-51,,OEDB experimental Raman,experimental_raman_index,https://oedb.jp,10.1038/s41524-026-02093-y,2026-05-11,Li,BF4,DME,1.25
